"analysis","group","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"meta_analysis","SSCQ","HALLMARK_G2M_CHECKPOINT",200,198,142,"OK",22,91,0.147045019717945,0.422986507296837,0.335969811576825,0.0234525726407118,0.506570667421362,0.0426410411649305,0.020508585471726,0.0468582044455474
"meta_analysis","SSCQ","HALLMARK_GLYCOLYSIS",200,177,127,"OK",22,91,-0.0345921713605574,0.836277406852258,-0.135616090543568,0.746940907268305,0.877056362515795,0.818565377828279,0.0049338254345985,0.0193427035814119
"meta_analysis","SSCQ","HALLMARK_HEDGEHOG_SIGNALING",36,29,27,"OK",22,91,-1.51699468501242,1.13163640112681e-07,-0.443180318296928,0.142007706398751,9.63094809469628e-07,0.200447134722359,0.312268550769121,0.0912272647302298
"meta_analysis","SSCQ","HALLMARK_HEME_METABOLISM",200,168,130,"OK",22,91,1.4863943073289,1.7467841417762e-07,0.450762008309216,0.0364426964501587,1.42594623818466e-06,0.0633786025220152,0.211003853865046,0.0639887548413131
"meta_analysis","SSCQ","HALLMARK_HYPOXIA",200,181,131,"OK",22,91,0.663908803145891,0.00953416463666201,-0.000641613179254637,0.780115280936074,0.0179045345289427,0.841094642518678,0.0941009533233135,9.09408213094531e-05
"meta_analysis","SSCQ","HALLMARK_IL2_STAT5_SIGNALING",199,165,127,"OK",22,91,0.554627073747964,0.0132765525519305,0.4902027731845,0.0811767640780243,0.0242494110537543,0.122530964646074,0.079105562199393,0.0699168284418856
"meta_analysis","SSCQ","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,65,46,"OK",22,91,-0.717939842334643,0.00130045365055082,-0.237425525687095,0.554542040500392,0.0029895486219559,0.65432689144589,0.128548731033009,0.0425115702489385
"meta_analysis","SSCQ","HALLMARK_INFLAMMATORY_RESPONSE",200,148,115,"OK",22,91,0.101490816243192,0.870399859371147,-0.124172281539877,0.645195224214661,0.902766860011853,0.735265212780241,0.0147722603363254,0.0180736084047961
"meta_analysis","SSCQ","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,94,65,"OK",22,91,-0.102863113087034,0.687361598259803,-0.851480992885843,1.52321845559329e-05,0.743093619740328,6.34674356497204e-05,0.016957072317506,0.140367371159867
"meta_analysis","SSCQ","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,170,116,"OK",22,91,-0.15304744598442,0.910512093564818,-0.463166194079234,0.208365568455825,0.926729866223733,0.280627028223333,0.0222367257588073,0.067294815488387
"meta_analysis","SSCQ","HALLMARK_KRAS_SIGNALING_DN",200,97,69,"OK",22,91,0.109539272765035,0.655636992092466,1.04928783110579,4.38843208208084e-05,0.720480211090622,0.00016104337915893,0.0178119962717846,0.170622923303277
"meta_analysis","SSCQ","HALLMARK_KRAS_SIGNALING_UP",200,157,124,"OK",22,91,1.28026882747587,8.94079187596653e-06,0.871303559738888,0.000123296435087239,5.21378336625837e-05,0.000379373646422274,0.183491108499724,0.12487725435872
"meta_analysis","SSCQ","HALLMARK_MITOTIC_SPINDLE",199,198,159,"OK",22,91,0.700850736927093,0.000345655793436705,0.928139560184439,0.000596031764765304,0.000903675276958707,0.00151855226691797,0.0956020575024361,0.12660620432831
"meta_analysis","SSCQ","HALLMARK_MTORC1_SIGNALING",200,196,129,"OK",22,91,0.491082580854066,0.0377599541379514,0.288666679084961,0.126919109817929,0.0604159266207223,0.182617424198458,0.0698212777401159,0.0410421325465368
"meta_analysis","SSCQ","HALLMARK_MYC_TARGETS_V1",200,199,104,"OK",22,91,0.666938835504456,0.00376954480355995,-1.27327870260172,4.5789080703057e-07,0.00777225732692774,4.0701405069384e-06,0.0991300120161359,0.189252936505532
"meta_analysis","SSCQ","HALLMARK_MYC_TARGETS_V2",58,57,39,"OK",22,91,-0.181865144585471,0.57909163638551,0.0466325516729556,0.922019354180418,0.65781581005779,0.941365877386052,0.0339455677571971,0.00870407821198179
"meta_analysis","SSCQ","HALLMARK_MYOGENESIS",200,156,128,"OK",22,91,0.841424718567972,0.000663073371889755,1.17624888680569,6.97171200427782e-05,0.00162717391874787,0.000228580721451732,0.119820656076558,0.167500324409584
"meta_analysis","SSCQ","HALLMARK_NOTCH_SIGNALING",32,30,24,"OK",22,91,-0.101827564073142,0.589052376412296,-0.625431631546971,0.00184342104054871,0.663720987506812,0.00410477419719237,0.0216634123995132,0.133058111379059
"meta_analysis","SSCQ","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,199,103,"OK",22,91,-0.593796694212167,0.0293341257104542,0.452452676975689,0.232942941053639,0.0488902095174236,0.310590588071518,0.0884383349774453,0.0673869723389206
"meta_analysis","SSCQ","HALLMARK_P53_PATHWAY",200,185,134,"OK",22,91,1.01937638018813,8.36334565714747e-05,0.854933105033832,0.000130785246130749,0.000259328547508449,0.000399344262994654,0.143828109299589,0.120626114617203
"meta_analysis","SSCQ","HALLMARK_PANCREAS_BETA_CELLS",40,18,12,"OK",22,91,0.086875553196397,0.910512093564818,-0.614501957765989,0.00661610474552031,0.926729866223733,0.0132322094910406,0.0228178236531326,0.161398653486682
"meta_analysis","SSCQ","HALLMARK_PEROXISOME",104,85,65,"OK",22,91,-0.148084871510813,0.904765341862747,-0.814874902368884,0.00117498401853712,0.926378876119148,0.00279758099651695,0.0244119179361485,0.134332825776897
"meta_analysis","SSCQ","HALLMARK_PI3K_AKT_MTOR_SIGNALING",105,93,71,"OK",22,91,0.559708266782287,0.0101543511195381,0.196069554904273,0.502392388486838,0.0189800955505385,0.59631144034046,0.0904239306717217,0.0316761085939
"meta_analysis","SSCQ","HALLMARK_PROTEIN_SECRETION",96,92,73,"OK",22,91,0.728005182264517,0.0248177893256127,0.163702389548578,0.634822948093462,0.0418865642626375,0.725511940678242,0.116876926177885,0.0262814504134404
"meta_analysis","SSCQ","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",49,46,25,"OK",22,91,-0.998074265494005,4.81845205877755e-05,-1.25945438515249,7.74640112567957e-07,0.000156697627927725,6.592681809089e-06,0.209904916791382,0.26487574828625
"meta_analysis","SSCQ","HALLMARK_SPERMATOGENESIS",135,81,59,"OK",22,91,-0.182762581951419,0.5594109997253,-1.06456876338432,5.00468438070136e-06,0.642042693486715,3.70717361533434e-05,0.0308161652673226,0.17950023796228
"meta_analysis","SSCQ","HALLMARK_TGF_BETA_SIGNALING",54,52,39,"OK",22,91,0.562508589150522,0.00218686908252774,0.21827160845778,0.614293646351436,0.00480630567588515,0.706084650978662,0.104993584507561,0.0407409220236471
"meta_analysis","SSCQ","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,188,158,"OK",22,91,-0.633040768608022,0.0108102035257931,-0.616532970067356,0.00208319393719127,0.020112006559615,0.00455342937090987,0.0864582061451889,0.0842036362659528
"meta_analysis","SSCQ","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,112,79,"OK",22,91,0.595502424831793,0.0135486510655511,-0.264960995339186,0.00973703442447254,0.0246339110282748,0.0188155254579179,0.0939300495375821,0.0417929438738502
"meta_analysis","SSCQ","HALLMARK_UV_RESPONSE_DN",144,142,127,"OK",22,91,-0.101680381902682,0.660883391716909,0.696078861349129,0.0434413115552066,0.722276930838152,0.0730106076558094,0.0145025083624314,0.0992806018105754
"meta_analysis","SSCQ","HALLMARK_UV_RESPONSE_UP",158,144,99,"OK",22,91,0.670104233583797,0.00106078371669693,0.839737300284886,0.000818681698669277,0.00251287055860332,0.00202143629301056,0.10064327865219,0.126120550910742
"meta_analysis","SSCQ","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,37,27,"OK",22,91,0.434784102931681,0.0205179788346734,0.392840533302346,0.12334920979771,0.0353758255770232,0.178121602595972,0.0894989303926379,0.0808649794423558
"meta_analysis","SSCQ","HALLMARK_XENOBIOTIC_METABOLISM",200,156,115,"OK",22,91,-0.959616301551713,0.00335611719459843,0.201906288986365,0.830618359964177,0.00699079201824012,0.879299406632492,0.139674724809937,0.0293880015439134
"meta_analysis","RS","HALLMARK_ADIPOGENESIS",200,190,136,"OK",11,91,0.226610153931199,0.837588826202584,0.16178908245616,0.787384354993887,0.877056362515795,0.846649844079448,0.0318786486997481,0.0227598685831192
"meta_analysis","RS","HALLMARK_ALLOGRAFT_REJECTION",200,117,81,"OK",11,91,-0.538483673214685,0.0805138273639237,0.378569727589359,0.151329741937172,0.118449932858187,0.212392620262697,0.0844675047132868,0.0593831193777219
