analysis,label,model,pathway,cohens_d,p_permutation,p_floor,n_perm,n_distinct_splits,n_test,n_control
meta_analysis,SSCQ,scaled,HALLMARK INTERFERON ALPHA RESPONSE,-0.5697810504358731,0.0239880059970015,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK INTERFERON GAMMA RESPONSE,-0.20855991456162132,0.392303848075962,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK KRAS SIGNALING DN,0.47646686463863996,0.04897551224387806,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK KRAS SIGNALING UP,1.463783398468126,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK MITOTIC SPINDLE,0.8784736322661061,0.0009995002498750624,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK MTORC1 SIGNALING,0.49923517495179515,0.033483258370814596,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK MYC TARGETS,0.2769211350575839,0.24187906046976512,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK MYOGENESIS,0.8859880269081438,0.0014992503748125937,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK NOTCH SIGNALING,-0.38313561411159597,0.09895052473763119,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK OXIDATIVE PHOSPHORYLATION,-0.5180906811978547,0.03648175912043978,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK P53 PATHWAY,1.0059353531044692,0.0009995002498750624,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK PANCREAS BETA CELLS,0.26338020069725826,0.26286856571714146,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK PEROXISOME,-0.14707341948712388,0.5087456271864068,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK PI3K AKT MTOR SIGNALING,0.41041524176964345,0.08345827086456771,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK PROTEIN SECRETION,0.5510194487702418,0.02148925537231384,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,-0.9033105291250824,0.0009995002498750624,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK SPERMATOGENESIS,0.19371977856871678,0.41529235382308843,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK TGF BETA SIGNALING,0.1403606960846784,0.5612193903048476,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK TNFA SIGNALING VIA NFKB,-0.320286645868851,0.18990504747626186,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK UNFOLDED PROTEIN RESPONSE,0.5562821347519813,0.022988505747126436,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK UV RESPONSE DN,-0.20584602454684137,0.3743128435782109,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK UV RESPONSE UP,0.6047947211630873,0.01249375312343828,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK WNT BETA CATENIN SIGNALING,0.6120098846104417,0.01199400299850075,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,HALLMARK XENOBIOTIC METABOLISM,-1.1734176634521214,0.0004997501249375312,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,SSCQ,scaled,Lysosomal Genes,0.7788726517028803,0.0014992503748125937,1.3621868410783912e-23,2000,146822736770579605107120,22,91
meta_analysis,RS,scaled,HALLMARK ADIPOGENESIS,0.1410786925258831,0.6826586706646677,1.1226327196211237e-14,2000,178152655364880,11,91
