condition,pathway,n_measured_genes,set_net,set_sum_positive,set_sum_negative,cancellation_ratio,frac_genes_with_set_net
SIPS,HALLMARK APOPTOSIS,112,0.014666831627080244,0.14167783600709857,-0.1270110043800183,18.319487617967926,0.5178571428571429
SIPS,HALLMARK BILE ACID METABOLISM,63,-0.00010976182736071948,0.02953023266750085,-0.029639994494861564,539.0783716446916,0.38095238095238093
SIPS,HALLMARK CHOLESTEROL HOMEOSTASIS,56,-0.005341145998946341,0.032740796294124866,-0.03808194229307121,13.259839480360098,0.5178571428571429
SIPS,HALLMARK COAGULATION,65,0.06307634004393872,0.09853892016628506,-0.035462580122346356,2.1244336655437923,0.6
SIPS,HALLMARK COMPLEMENT,104,0.05207965494730192,0.11376512976839398,-0.06168547482109205,3.3688895359813738,0.49038461538461536
SIPS,HALLMARK DNA REPAIR,93,-0.0019884904936262656,0.03997341171941019,-0.04196190221303646,41.20478030700925,0.41935483870967744
SIPS,HALLMARK E2F TARGETS,136,0.08386713002646762,0.23466868879664354,-0.1508015587701759,4.59620172343049,0.49264705882352944
SIPS,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,153,0.012883758586580238,0.15962460940001644,-0.1467408508134362,23.779199071035364,0.5163398692810458
SIPS,HALLMARK ESTROGEN RESPONSE EARLY,137,-0.019222767408665745,0.11092537708702786,-0.1301481444956936,12.541041383773075,0.45255474452554745
SIPS,HALLMARK ESTROGEN RESPONSE LATE,131,-0.0369105449622947,0.0949757579593502,-0.1318863029216449,6.146266903204544,0.46564885496183206
SIPS,HALLMARK FATTY ACID METABOLISM,94,0.022203176008954335,0.05726361209965565,-0.03506043609070132,4.158146030690544,0.5851063829787234
SIPS,HALLMARK G2M CHECKPOINT,142,-0.03990103810643339,0.17634892792327836,-0.21624996602971175,9.839315280613963,0.47183098591549294
SIPS,HALLMARK GLYCOLYSIS,126,0.0330573082257476,0.10485878117768489,-0.07180147295193731,5.344060469872907,0.5079365079365079
SIPS,HALLMARK HEDGEHOG SIGNALING,27,-0.016676287631307657,0.011679762823492035,-0.028356050454799688,2.400762937377589,0.5925925925925926
SIPS,HALLMARK HEME METABOLISM,130,0.0018054289846369878,0.06896649289715132,-0.06716106391251433,75.39900930361789,0.5384615384615384
SIPS,HALLMARK HYPOXIA,130,0.1070532360152404,0.1987410301033885,-0.09168779408814809,2.71293830062447,0.5307692307692308
SIPS,HALLMARK IL2 STAT5 SIGNALING,126,0.026028228507651352,0.10204078329208648,-0.07601255478443512,6.840778196801999,0.5476190476190477
SIPS,HALLMARK IL6 JAK STAT3 SIGNALING,46,-0.04110105598830527,0.019634925815872478,-0.06073598180417773,1.9554462942002908,0.5434782608695652
SIPS,HALLMARK INFLAMMATORY RESPONSE,113,0.01978848755591222,0.13470462951306394,-0.11491614195715172,12.614444169364338,0.5132743362831859
SIPS,HALLMARK INTERFERON ALPHA RESPONSE,65,-0.03862192562178585,0.02239315069054649,-0.06101507631233233,2.1596081930164015,0.6
SIPS,HALLMARK INTERFERON GAMMA RESPONSE,115,0.05461709685255681,0.13344385880605358,-0.07882676195349674,3.886523323138023,0.48695652173913045
SIPS,HALLMARK KRAS SIGNALING DN,69,-0.03290911617483168,0.04996523965252707,-0.08287435582735875,4.036559194545591,0.5507246376811594
SIPS,HALLMARK KRAS SIGNALING UP,123,0.0659882392401884,0.1922780093246938,-0.12628977008450534,4.827644790606624,0.5609756097560976
SIPS,HALLMARK MITOTIC SPINDLE,159,-0.003483991999021294,0.11710520516130023,-0.12058919716032153,68.22472680430774,0.5031446540880503
SIPS,HALLMARK MTORC1 SIGNALING,129,0.05261178605378157,0.13011366287554732,-0.07750187682176575,3.9461792740714285,0.5116279069767442
SIPS,HALLMARK MYC TARGETS,137,-0.057782090776161456,0.04527214846972561,-0.10305423924588707,2.566995858460804,0.5401459854014599
SIPS,HALLMARK MYOGENESIS,128,0.12278514098960965,0.18945040156479734,-0.0666652605751877,2.0858848234873806,0.546875
SIPS,HALLMARK NOTCH SIGNALING,24,-0.02302162636784013,0.010758943059435281,-0.03378056942727541,1.9346814067371798,0.6666666666666666
SIPS,HALLMARK OXIDATIVE PHOSPHORYLATION,103,0.006061089127052719,0.031356041768101944,-0.025294952641049227,9.346669092242573,0.5533980582524272
SIPS,HALLMARK P53 PATHWAY,134,0.13716050143602884,0.2144729361974595,-0.0773124347614306,2.1273279690872067,0.6417910447761194
SIPS,HALLMARK PANCREAS BETA CELLS,11,-0.010158949038929724,0.0055894119309176,-0.015748360969847327,2.1003917648368207,0.45454545454545453
SIPS,HALLMARK PEROXISOME,65,0.006409215499582426,0.036727140003266136,-0.030317924503683705,10.460728697813012,0.6
SIPS,HALLMARK PI3K AKT MTOR SIGNALING,71,0.05101001966386852,0.06934755606953971,-0.018337536405671203,1.718977821475339,0.5633802816901409
SIPS,HALLMARK PROTEIN SECRETION,73,0.012111299621156752,0.024603890101683703,-0.01249259048052695,3.0629644829699596,0.589041095890411
SIPS,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,25,-0.012923426602379762,0.004079254830977343,-0.017002681433357106,1.6312961657129195,0.48
