analysis,label,pathway,n_studies,contrib_diff_within_study,wilcox_p,cell_type,timepoint,p_adj
meta_analysis,RS,HALLMARK E2F TARGETS,6.0,0.08689673187861409,6.4971491844183035e-06,,,3.0646930115180674e-05
meta_analysis,RS,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,6.0,0.09096697340131703,0.020368214479093667,,,0.03716827459688625
meta_analysis,RS,HALLMARK ESTROGEN RESPONSE EARLY,6.0,0.04826143107563416,0.34794317411517317,,,0.4243209440428941
meta_analysis,RS,HALLMARK ESTROGEN RESPONSE LATE,6.0,-0.010361547817049493,0.1423174656528749,,,0.2056610775330562
meta_analysis,RS,HALLMARK FATTY ACID METABOLISM,6.0,0.005553400154805345,0.1423174656528749,,,0.2056610775330562
meta_analysis,RS,HALLMARK G2M CHECKPOINT,6.0,-0.02914265104648518,5.259880331262456e-07,,,3.2072441044283266e-06
meta_analysis,RS,HALLMARK GLYCOLYSIS,6.0,0.0023488456511457944,0.04835130055927186,,,0.08223010299195894
meta_analysis,RS,HALLMARK HEDGEHOG SIGNALING,6.0,-0.015229705153985229,0.00016646000920613805,,,0.0005779861430768682
meta_analysis,RS,HALLMARK HEME METABOLISM,6.0,-0.0007391517844924632,0.01979118273425352,,,0.03638085061443662
meta_analysis,RS,HALLMARK HYPOXIA,6.0,0.18151896998563263,0.0018218615795621044,,,0.004600660554449759
meta_analysis,RS,HALLMARK IL2 STAT5 SIGNALING,6.0,0.033405149227289835,0.13372311290578923,,,0.19665163662616064
meta_analysis,RS,HALLMARK IL6 JAK STAT3 SIGNALING,6.0,0.0032192997317164935,0.627338954500994,,,0.6970432827788822
meta_analysis,RS,HALLMARK INFLAMMATORY RESPONSE,6.0,0.04518077849545499,0.12553588329113508,,,0.18680935013561767
meta_analysis,RS,HALLMARK INTERFERON ALPHA RESPONSE,6.0,-0.0661238226092917,2.2378818242065415e-07,,,1.5540846001434316e-06
meta_analysis,RS,HALLMARK INTERFERON GAMMA RESPONSE,6.0,0.08593712792128518,0.1423174656528749,,,0.2056610775330562
meta_analysis,RS,HALLMARK KRAS SIGNALING DN,6.0,0.0184632736149059,0.2953441737060113,,,0.37290931023486273
meta_analysis,RS,HALLMARK KRAS SIGNALING UP,6.0,0.12686843853542693,0.06506552950160885,,,0.10631622467583146
meta_analysis,RS,HALLMARK MITOTIC SPINDLE,6.0,-0.0021286620765823654,0.07331482168683633,,,0.11674334663508969
meta_analysis,RS,HALLMARK MTORC1 SIGNALING,6.0,0.08297615032532672,0.2439616597396097,,,0.3160125126160747
meta_analysis,RS,HALLMARK MYC TARGETS,6.0,-0.06820275437200049,2.3469827810408843e-05,,,9.618781889511821e-05
meta_analysis,RS,HALLMARK MYOGENESIS,6.0,0.16835009812267784,0.0065546182664281485,,,0.014005594586384933
meta_analysis,RS,HALLMARK NOTCH SIGNALING,6.0,-0.005261490293907059,0.627338954500994,,,0.6970432827788822
meta_analysis,RS,HALLMARK OXIDATIVE PHOSPHORYLATION,6.0,0.0012798448445660636,0.0021847849121265518,,,0.005206831148875595
meta_analysis,RS,HALLMARK P53 PATHWAY,6.0,0.18834664005714888,0.08432298837692477,,,0.13258331505805782
meta_analysis,RS,HALLMARK PANCREAS BETA CELLS,6.0,-0.009068697209769373,0.15442852019948072,,,0.2206121717135439
meta_analysis,RS,HALLMARK PEROXISOME,6.0,0.0423554340716595,0.0037071069134640066,,,0.00842524298514547
meta_analysis,RS,HALLMARK PI3K AKT MTOR SIGNALING,6.0,0.06769258377123137,0.06991784050038101,,,0.11204782131471315
meta_analysis,RS,HALLMARK PROTEIN SECRETION,6.0,0.012450944274096393,0.9655792562761883,,,0.969457084614647
meta_analysis,RS,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,6.0,-0.005931475991890928,0.0002245934849498999,,,0.0007587617734793916
