external_id,study,geo,series,condition,title,line_token_sample,characteristics,immortalisation_term_in_sample_record,matched_term,cell_line_resolved_studylevel,immortalised_studylevel,AGREES
SRR6389404,SRP127037,GSM2894511,GSE108278,Proliferating,shScr #1 d0,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 0 | developmental stage: control growing cells,True,hTERT,IMR90-hTERT,yes,True
SRR6389405,SRP127037,GSM2894512,GSE108278,Proliferating,shScr #2 d0,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 0 | developmental stage: control growing cells,True,hTERT,IMR90-hTERT,yes,True
SRR6389408,SRP127037,GSM2894515,GSE108278,Oncogene-induced CS,shScr #1 d4,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 4 | developmental stage: control cells beginning to senesce,True,hTERT,IMR90-hTERT,yes,True
SRR6389409,SRP127037,GSM2894516,GSE108278,Oncogene-induced CS,shScr #2 d4,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 4 | developmental stage: control cells beginning to senesce,True,hTERT,IMR90-hTERT,yes,True
SRR6389412,SRP127037,GSM2894519,GSE108278,Oncogene-induced CS,shScr #1 d10,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 10 | developmental stage: control senescent cells,True,hTERT,IMR90-hTERT,yes,True
SRR6389413,SRP127037,GSM2894520,GSE108278,Oncogene-induced CS,shScr #2 d10,IMR90 hTERT,cell line: IMR90 hTERT | cell type: lung fibroblast | genotype: WT | time: day 10 | developmental stage: control senescent cells,True,hTERT,IMR90-hTERT,yes,True
SRR2184428,SRP062872,GSM1861966,"GSE72407,GSE72409",Proliferating,Control rep 1,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184429,SRP062872,GSM1861967,"GSE72407,GSE72409",Proliferating,Control rep 2,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184430,SRP062872,GSM1861968,"GSE72407,GSE72409",Proliferating,Control rep 3,IMR90 cells,sample group: Control,False,,IMR90,no,True
SRR2184431,SRP062872,GSM1861969,"GSE72407,GSE72409",Proliferating,Control rep 4,IMR90 cells,sample group: Control,False,,IMR90,no,True
