analysis,label,cell_type,timepoint,pathway,observed,expected_from_weight,total_shift,z,p_emp,interpretable,p_emp_adj
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK KRAS SIGNALING UP,0.03650765643555271,0.009166653417534372,0.4856643182478602,0.7913725290643198,0.41697915104244787,True,0.793478836696463
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK MITOTIC SPINDLE,-0.03267085272734014,0.005863723152192552,0.4856643182478602,-1.8798888076083666,0.06369681515924204,True,0.324397573224787
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK MTORC1 SIGNALING,0.08063429926191869,0.007247076076621816,0.4856643182478602,2.785225861885806,0.007999600019999,True,0.13066013365998366
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK MYC TARGETS,-0.05813573474375635,0.004812045679805372,0.4856643182478602,-3.322198790334767,0.003249837508124594,True,0.08949258419431969
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK MYOGENESIS,0.10478567926281704,0.010246212312847992,0.4856643182478602,2.763827676113105,0.006599670016499175,True,0.11194055681831293
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK NOTCH SIGNALING,-0.022117529753669048,0.0016677257699446756,0.4856643182478602,-1.8453143106215952,0.07144642767861607,True,0.33519015538584773
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK OXIDATIVE PHOSPHORYLATION,0.010798443049293135,0.0038119697605107097,0.4856643182478602,0.44291678063358403,0.6302184890755462,True,0.9053347332633368
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK P53 PATHWAY,0.09759239897497785,0.007851837921377126,0.4856643182478602,3.4054089415992173,0.0018499075046247689,True,0.06142192890355482
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK PANCREAS BETA CELLS,-0.005467302885899151,0.0010408405404239616,0.4856643182478602,-0.6742423962552195,0.40997950102494873,False,
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK PEROXISOME,0.0036445547930643958,0.0036297027226473667,0.4856643182478602,-0.014611222923793306,0.9878006099695015,True,0.9940043906895564
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK PI3K AKT MTOR SIGNALING,0.03549915855888015,0.003659831705194459,0.4856643182478602,1.9257894736352497,0.058647067646617666,True,0.31612274807946344
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK PROTEIN SECRETION,0.003694988212479458,0.002955905706208833,0.4856643182478602,0.002344575379064314,0.9978001099945003,True,0.9978001099945003
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,-0.00456715620321336,0.0009767620845132906,0.4856643182478602,-0.6681196812523192,0.41482925853707314,True,0.793478836696463
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK SPERMATOGENESIS,-0.019872297333918643,0.0033725321807585042,0.4856643182478602,-1.4403751481507043,0.1399430028498575,True,0.4764257940949106
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK TGF BETA SIGNALING,-0.009797399929870505,0.0018470061915219242,0.4856643182478602,-0.9175285323572763,0.3077846107694615,True,0.710644048949385
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK TNFA SIGNALING VIA NFKB,0.020924035181430545,0.009963689475872447,0.4856643182478602,0.19425590005437698,0.84010799460027,True,0.9455478107706706
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK UNFOLDED PROTEIN RESPONSE,0.026424446066534702,0.002757360713942977,0.4856643182478602,1.825777338229802,0.07139643017849108,True,0.33519015538584773
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK UV RESPONSE DN,-0.004011850009287223,0.007721978932982476,0.4856643182478602,-0.5197455385000934,0.5880705964701765,True,0.8731957341526863
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK UV RESPONSE UP,0.012727115439894805,0.005138757191082974,0.4856643182478602,0.36172059433136095,0.6983150842457877,True,0.914937632619754
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK WNT BETA CATENIN SIGNALING,0.00158048427406256,0.0015238355180620295,0.4856643182478602,-0.010407896333150162,0.9895505224738763,True,0.9940043906895564
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,HALLMARK XENOBIOTIC METABOLISM,-0.04450136406720113,0.0074741766473054,0.4856643182478602,-1.9768993077299803,0.05064746762661867,True,0.295919414555588
temporal_bytimepoint,Keratinocyte_4_days,Keratinocyte,4_days,Lysosomal Genes,0.009810436844047067,0.006208178556675109,0.4856643182478602,0.1850732800568642,0.8419079046047697,True,0.9455478107706706
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ADIPOGENESIS,0.1401402686517335,0.004786205606017553,0.3260575977910009,3.4534121361744115,0.00119994000299985,True,0.04409779511024448
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ALLOGRAFT REJECTION,0.02919117338692559,0.005031884864434282,0.3260575977910009,0.5272583957004691,0.5871206439678016,True,0.8731957341526863
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ANDROGEN RESPONSE,-0.00031352596296751713,0.002720068764323391,0.3260575977910009,-0.1303577067238049,0.8888055597220139,True,0.9691739550953486
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK ANGIOGENESIS,0.10319401691892939,0.001308157234709517,0.3260575977910009,4.112832539113546,0.0008999550022498875,True,0.03968801559922004
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK APICAL JUNCTION,0.051976793922630854,0.004982715260233901,0.3260575977910009,1.085360094282645,0.27068646567671617,True,0.6758358711277919
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK APICAL SURFACE,-0.006759845448440447,0.0009136139852409654,0.3260575977910009,-0.4047710528978599,0.6408179591020449,True,0.9053347332633368
temporal_bytimepoint,Keratinocyte_10_days,Keratinocyte,10_days,HALLMARK APOPTOSIS,0.022253485264317696,0.004822883942622886,0.3260575977910009,0.3803008467641265,0.6928653567321634,True,0.914937632619754
