analysis,label,model,pathway,n_clock,n_nonzero,weight_share,total_shift,observed,expected_from_weight,ratio,ratio_reliable,null_mean,null_sd,z,p_emp,interpretable,p_emp_adj
meta_analysis,SIPS,scaled,HALLMARK PANCREAS BETA CELLS,19,5,0.0015289761528051,23.287343127710805,0.1041136436544433,0.0356057923044613,2.924064791598473,True,0.0170920577469973,0.1599638942780074,0.5440076731078313,0.4935753212339383,False,
meta_analysis,SIPS,scaled,HALLMARK PEROXISOME,78,13,0.0064702844159259,23.287343127710805,0.0397296967063736,0.1506757333275476,0.2636768099877562,True,0.1321912027753362,0.6520125186068109,-0.1418094030871216,0.8523573821308934,False,
meta_analysis,SIPS,scaled,HALLMARK PI3K AKT MTOR SIGNALING,77,11,0.005470409096362,23.287343127710805,1.9571184375422244,0.1273912936759342,15.36304704245222,True,0.1000477555486682,0.5046253078882711,3.680098189615035,0.0096495175241237,False,
meta_analysis,SIPS,scaled,HALLMARK PROTEIN SECRETION,76,5,0.0028243260081014,23.287343127710805,0.3422302295102108,0.0657710488551763,5.203356727118338,True,0.0101581342874933,0.3468531661470119,0.9573852212782468,0.2541372931353432,False,
meta_analysis,SIPS,scaled,HALLMARK REACTIVE OXYGEN SPECIES PATHWAY,28,5,0.001463852562887,23.287343127710805,-0.2299813871655512,0.0340892369203291,-6.746451605914399,True,0.002251614585124,0.1714516718873667,-1.3545099863665264,0.1640917954102295,False,
meta_analysis,SIPS,scaled,HALLMARK SPERMATOGENESIS,74,12,0.0082702231817565,23.287343127710805,-0.5699774445039338,0.1925915249763133,-2.959514675290281,True,0.1145712289113521,0.6035115867172135,-1.1342759418073012,0.1911404429778511,False,
meta_analysis,SIPS,scaled,HALLMARK TGF BETA SIGNALING,40,11,0.005390860523621,23.287343127710805,-0.3009732191447568,0.1255388187671943,-2.39745141861576,True,0.0166914880272499,0.5305356132876675,-0.5987622681981244,0.4620268986550672,False,
meta_analysis,SIPS,scaled,HALLMARK TNFA SIGNALING VIA NFKB,164,50,0.0303462780806595,23.287343127710805,2.0663095503812583,0.7066841903132492,2.9239504416609816,True,0.5110479176216699,1.2888478859681085,1.2067068966725778,0.2050397480125993,True,0.5924203789810509
meta_analysis,SIPS,scaled,HALLMARK UNFOLDED PROTEIN RESPONSE,79,9,0.0041679179798426,23.287343127710805,0.496567651280587,0.0970597361247519,5.116103454498818,True,-0.0101694595724765,0.3794834154497043,1.3353340099265156,0.1462426878656067,False,
meta_analysis,SIPS,scaled,HALLMARK UV RESPONSE DN,128,30,0.0186947256569939,23.287343127710805,0.40055132154752,0.4353504910528379,0.9200663138769852,True,0.3647821004032221,1.0237071550050676,0.0349408724647634,0.9687515624218788,True,0.9802843191173776
meta_analysis,SIPS,scaled,HALLMARK UV RESPONSE UP,104,21,0.011923140245684,23.287343127710805,2.540312955253436,0.2776582580610632,9.14906321530968,True,0.1230582209692085,0.788753628018373,3.064651176765073,0.0099995000249987,False,
