"analysis","label","cell_type","timepoint","pathway","cohens_d","wilcox_p","n_test","n_control","model","p_adj"
"temporal_pooled","Fibroblast","Fibroblast",NA,"Protein folding/ Translation (plum1)",-0.592185689897029,0.155636125887842,18,6,"scaled",0.198082342039072
"temporal_pooled","Fibroblast","Fibroblast",NA,"Protein processing in ER/ UPR (darkslateblue)",4.99122109168649,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"VEGF signaling (sienna3)",1.24769466836728,0.00942078516449226,18,6,"scaled",0.0188415703289845
"temporal_pooled","Fibroblast","Fibroblast",NA,"mRNA splicing (darkred)",-1.32495733803265,0.0330024666409106,18,6,"scaled",0.0513371703303053
"temporal_pooled","Fibroblast","Fibroblast",NA,"Adaptive immunity/ T cell signaling (darkgreen)",-2.66934213177315,1.48592825938364e-05,18,6,"yugene",6.93433187712364e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Cell cycle/ DNA replication (green)",2.8987757178512,2.97185651876727e-05,18,6,"yugene",0.000104014978156855
"temporal_pooled","Fibroblast","Fibroblast",NA,"Chromatin modification (orange)",-2.35546706528065,0.000282326369282891,18,6,"yugene",0.000846979107848673
"temporal_pooled","Fibroblast","Fibroblast",NA,"ECM organization/ EMT (brown4)",3.74160074765185,1.48592825938364e-05,18,6,"yugene",6.93433187712364e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Fatty acid metabolism/ Peroxisome (ivory)",10.2000651142632,1.48592825938364e-05,18,6,"yugene",6.93433187712364e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Innate immunity/ Inflammation (turquoise)",4.56058636455893,1.48592825938364e-05,18,6,"yugene",6.93433187712364e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"Interferon signaling (darkmagenta)",-1.76114913330194,0.00185741032422955,18,6,"yugene",0.00433395742320227
"temporal_pooled","Fibroblast","Fibroblast",NA,"Mitochondrial translation/ OxPhos (pink)",1.31499873951159,0.00942078516449226,18,6,"yugene",0.0172031729090728
"temporal_pooled","Fibroblast","Fibroblast",NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",1.11641619389113,0.0272965021248774,18,6,"yugene",0.0440943495863404
"temporal_pooled","Fibroblast","Fibroblast",NA,"OxPhos/ Heme metabolism (white)",-0.553985583938772,0.494204879788404,18,6,"yugene",0.610488380915087
"temporal_pooled","Fibroblast","Fibroblast",NA,"Protein folding/ Translation (plum1)",-0.499931094933422,0.494204879788404,18,6,"yugene",0.610488380915087
"temporal_pooled","Fibroblast","Fibroblast",NA,"Protein processing in ER/ UPR (darkslateblue)",1.36970017462964,0.00739992273173051,18,6,"yugene",0.0141271252151219
"temporal_pooled","Fibroblast","Fibroblast",NA,"VEGF signaling (sienna3)",4.54036283594255,1.48592825938364e-05,18,6,"yugene",6.93433187712364e-05
"temporal_pooled","Fibroblast","Fibroblast",NA,"mRNA splicing (darkred)",-1.47918381443337,0.00185741032422955,18,6,"yugene",0.00433395742320227
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Adaptive immunity/ T cell signaling (darkgreen)",1.58893805277209,0.00442806621296324,18,6,"scaled",0.00978835689181347
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Cell cycle/ DNA replication (green)",3.88102635386695,1.48592825938364e-05,18,6,"scaled",5.20074890784273e-05
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Chromatin modification (orange)",1.27261324926889,0.00739992273173051,18,6,"scaled",0.0155398377366341
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"ECM organization/ EMT (brown4)",-1.81999700661364,0.00133733543344527,18,6,"scaled",0.00374453921364677
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Fatty acid metabolism/ Peroxisome (ivory)",-2.44755869142479,0.000178311391126036,18,6,"scaled",0.000534934173378109
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Innate immunity/ Inflammation (turquoise)",-0.224437213350255,0.672917471544474,18,6,"scaled",0.724680353970972
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Interferon signaling (darkmagenta)",0.400094114706898,0.310440131950429,18,6,"scaled",0.362180153942168
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Mitochondrial translation/ OxPhos (pink)",1.72142246916217,0.00251121875835835,18,6,"scaled",0.00620418752065003
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Muscle contraction/ Cytoskeleton/ Glycolysis (blue)",0.518565792320021,0.672917471544474,18,6,"scaled",0.724680353970972
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"OxPhos/ Heme metabolism (white)",1.7111291498113,0.00442806621296324,18,6,"scaled",0.00978835689181347
"temporal_pooled","Keratinocyte","Keratinocyte",NA,"Protein folding/ Translation (plum1)",-1.68051609674639,0.00185741032422955,18,6,"scaled",0.00487570210110256
