external_id,study,series,geo,condition,cell_line_curated,cell_line_resolved,line_token_sample,title,immortalised_curated,immortalised_VERIFIED,CHANGED_vs_curated,immortalisation_term_in_sample_record,matched_term,sample_record_agrees,evidence_level,tissue,characteristics
ERR1805210,ERP021140,,SAMEA54025918,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805211,ERP021140,,SAMEA54026668,Proliferating,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805212,ERP021140,,SAMEA54027418,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805213,ERP021140,,SAMEA54028168,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805214,ERP021140,,SAMEA54028918,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805215,ERP021140,,SAMEA54029668,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805216,ERP021140,,SAMEA54030418,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
ERR1805217,ERP021140,,SAMEA54031168,Stress-induced CS,Primary,HCA2/BJ (primary),,,no,no,,,,n/a (not GEO),ArrayExpress E-MTAB-5403 description,Foreskin,
SRR616151,SRP017142,"GSE42212,GSE42213",GSM1035443,Proliferating,WI-38,WI-38,WI38,Proliferatives_rep1_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Proliferative | genotype/variation: infected with pBABE-puro-empty
SRR616152,SRP017142,"GSE42212,GSE42213",GSM1035444,Proliferating,WI-38,WI-38,WI38,Proliferatives_rep2_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Proliferative | genotype/variation: infected with pBABE-puro-empty
SRR616153,SRP017142,"GSE42212,GSE42213",GSM1035445,Proliferating,WI-38,WI-38,WI38,Proliferatives_rep3_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Proliferative | genotype/variation: infected with pBABE-puro-empty
SRR616154,SRP017142,"GSE42212,GSE42213",GSM1035446,Oncogene-induced CS,WI-38,WI-38,WI38,Ras_rep1_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Senescent | genotype/variation: infected with pBABE-puro-H-RasG12V
SRR616155,SRP017142,"GSE42212,GSE42213",GSM1035447,Oncogene-induced CS,WI-38,WI-38,WI38,Ras_rep2_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Senescent | genotype/variation: infected with pBABE-puro-H-RasG12V
SRR616156,SRP017142,"GSE42212,GSE42213",GSM1035448,Oncogene-induced CS,WI-38,WI-38,WI38,Ras_rep3_RNAseq,no,no,,False,,yes,GEO per-sample record,Lung,cell line: WI38 | cell type: primary fibroblasts | status: Senescent | genotype/variation: infected with pBABE-puro-H-RasG12V
SRR1049936,SRP034163,"GSE53330,GSE53332",GSM1289414,Proliferating,IMR-90,IMR90,IMR90,PD38_RNAseq_IMR90,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | growth protocol: RS_Proliferating | population doubling: PD38
SRR1049937,SRP034163,"GSE53330,GSE53332",GSM1289415,Replicative CS,IMR-90,IMR90,IMR90,PD79_RNAseq_IMR90,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | growth protocol: RS_Senescent | population doubling: PD79
SRR1051229,SRP034541,GSE53356,GSM1290015,Proliferating,IMR-90,IMR90,IMR90,PD32.1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: proliferating
SRR1051230,SRP034541,GSE53356,GSM1290016,Proliferating,IMR-90,IMR90,IMR90,PD32.2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: proliferating
SRR1051231,SRP034541,GSE53356,GSM1290017,Replicative CS,IMR-90,IMR90,IMR90,PD88.1,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: senescent
SRR1051232,SRP034541,GSE53356,GSM1290018,Replicative CS,IMR-90,IMR90,IMR90,PD88.2,no,no,,False,,yes,GEO per-sample record,Lung,cell line: IMR90 | cell type: senescent
SRR1197244,SRP040243,GSE55949,GSM1348980,Proliferating,IMR-90,IMR90,IMR90,Growing,no,no,,False,,yes,GEO per-sample record,Lung,tissue: Lung | cell line: IMR90 | passage: 16
SRR1197245,SRP040243,GSE55949,GSM1348981,Oncogene-induced CS,IMR-90,IMR90,IMR90,Oncogene-induced senescence,no,no,,False,,yes,GEO per-sample record,Lung,tissue: Lung | cell line: IMR90 | passage: 16
SRR1210368,SRP040745,GSE56293,GSM1358447,Replicative CS,BJ,BJ,BJ foreskin fibroblasts,late_9_24,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: BJ foreskin fibroblasts | develpmental stage: senescent | treatment: none
SRR1210370,SRP040745,GSE56293,GSM1358449,Proliferating,BJ,BJ,BJ foreskin fibroblasts,young_9_11,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: BJ foreskin fibroblasts | develpmental stage: young | treatment: none
SRR1210372,SRP040745,GSE56293,GSM1358451,Replicative CS,BJ,BJ,BJ foreskin fibroblasts,late_9_11,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: BJ foreskin fibroblasts | develpmental stage: senescent | treatment: none
SRR1210373,SRP040745,GSE56293,GSM1358452,Proliferating,BJ,BJ,BJ foreskin fibroblasts,young_9_24,no,no,,False,,yes,GEO per-sample record,Foreskin,cell type: BJ foreskin fibroblasts | develpmental stage: young | treatment: none
