"cell_type","timepoint","pathway","n_pathway_genes","n_in_expression_data","n_overlap_EN_model_features","status","n_test","n_control","cohens_d_scaled","wilcox_p_scaled","cohens_d_yugene","wilcox_p_yugene","p_adj_scaled","p_adj_yugene","efficiency_score_scaled","efficiency_score_yugene"
"Fibroblast","10_days","HALLMARK_BILE_ACID_METABOLISM",112,71,58,"OK",6,6,3.4136642266517,0.00216450216450216,6.86274251592855,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.577912214793616,1.16181981109159
"Fibroblast","10_days","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,67,55,"OK",6,6,-1.54874634481492,0.0649350649350649,0.806331014857226,0.17965367965368,0.0954927425515661,0.248751248751249,0.265519552238068,0.138238679779511
"Fibroblast","10_days","HALLMARK_COAGULATION",138,86,61,"OK",6,6,2.62533651993422,0.00216450216450216,1.26053242030087,0.132034632034632,0.00450937950937951,0.19104689522696,0.439219269221875,0.210887299312356
"Fibroblast","10_days","HALLMARK_COMPLEMENT",200,141,100,"OK",6,6,3.11436013929022,0.00216450216450216,3.27063926565653,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.466750840912372,0.490172478226658
"Fibroblast","10_days","HALLMARK_DNA_REPAIR",150,147,93,"OK",6,6,0.775557366384147,0.484848484848485,1.35922830164595,0.132034632034632,0.533451878195154,0.19104689522696,0.118047855633341,0.206888611055982
"Fibroblast","10_days","HALLMARK_E2F_TARGETS",200,200,136,"OK",6,6,7.84086629105462,0.00216450216450216,4.15559406188743,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.10302304489902,0.584593059664437
"Fibroblast","10_days","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,197,152,"OK",6,6,0.493628699512884,0.17965367965368,0.715992827679857,0.24025974025974,0.2245670995671,0.320821611622799,0.0679294343859562,0.0985294976906517
"Fibroblast","10_days","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,152,122,"OK",6,6,-1.64504389359311,0.0151515151515152,1.45144230562402,0.0649350649350649,0.0259246456965088,0.103619784470848,0.236554135110631,0.208714600629857
"Fibroblast","10_days","HALLMARK_ESTROGEN_RESPONSE_LATE",200,140,122,"OK",6,6,-3.28399455519706,0.00216450216450216,-1.04813372252265,0.0930735930735931,0.00450937950937951,0.141976667400396,0.472232075228023,0.150719605219822
"Fibroblast","10_days","HALLMARK_FATTY_ACID_METABOLISM",158,127,89,"OK",6,6,1.69129336981197,0.00865800865800866,5.00760602646396,0.00216450216450216,0.0160996028764624,0.00496952027564273,0.259887329474849,0.769478187822943
"Fibroblast","10_days","HALLMARK_G2M_CHECKPOINT",200,197,141,"OK",6,6,6.52022221560103,0.00216450216450216,2.34610632229623,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.910661925181302,0.3276743689855
"Fibroblast","10_days","HALLMARK_GLYCOLYSIS",200,166,117,"OK",6,6,0.219631608120193,0.588744588744589,0.109674518881559,1,0.639939770374553,1,0.031854592196621,0.0159068045953603
"Fibroblast","10_days","HALLMARK_HEDGEHOG_SIGNALING",36,27,25,"OK",6,6,-3.91273967111875,0.00216450216450216,-1.94368201920392,0.00432900432900433,0.00450937950937951,0.00923247368744999,0.822887958829407,0.4087756057992
"Fibroblast","10_days","HALLMARK_HEME_METABOLISM",200,156,123,"OK",6,6,10.8972574980969,0.00216450216450216,5.17460515543173,0.00216450216450216,0.00450937950937951,0.00496952027564273,1.56439778390662,0.74286037924339
"Fibroblast","10_days","HALLMARK_HYPOXIA",200,168,120,"OK",6,6,0.271543840464915,1,1.31702443152672,0.17965367965368,1,0.248751248751249,0.0391796467301126,0.190026597082069
"Fibroblast","10_days","HALLMARK_IL2_STAT5_SIGNALING",199,147,112,"OK",6,6,2.20893769547203,0.0151515151515152,3.31633448545485,0.00216450216450216,0.0259246456965088,0.00496952027564273,0.323280148062217,0.485348729246339
"Fibroblast","10_days","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,57,43,"OK",6,6,-4.27819541321137,0.00216450216450216,-0.560501030472872,0.30952380952381,0.00450937950937951,0.395698051948052,0.779007620591778,0.102060455850042
"Fibroblast","10_days","HALLMARK_INFLAMMATORY_RESPONSE",200,119,98,"OK",6,6,4.00121562098054,0.00216450216450216,2.76276985206879,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.602242960517212,0.415838298294422
"Fibroblast","10_days","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,89,60,"OK",6,6,-0.418114194087358,0.588744588744589,-0.62016235203445,0.818181818181818,0.639939770374553,0.864276568501921,0.0702217683615794,0.104155509779313
"Fibroblast","10_days","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,158,108,"OK",6,6,4.49926890091153,0.00216450216450216,3.21476422382013,0.00216450216450216,0.00450937950937951,0.00496952027564273,0.663475923853183,0.474058943873549
"Fibroblast","10_days","HALLMARK_KRAS_SIGNALING_DN",200,76,55,"OK",6,6,-1.49337487466529,0.025974025974026,1.01448510387321,0.17965367965368,0.0420442866486032,0.248751248751249,0.256026578769485,0.173924949966417
